"link";"titulo";"preco";"cidade";"bairro";"cep";"endereco_completo";"lat";"lon"
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/aluguel-de-casa-268083931";"Aluguel de Casa";450;"Rio de Janeiro";" Vigário Geral";21240660;"Rua Figueiredo Rocha, 21240660, Vigário Geral, Rio de Janeiro, RJ";-22,8064098078637;-43,3117815296244
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/aluga-kitinete-estrada-da-curicica-4-268076613";"Aluga kitinete estrada da curicica 4";450;"Rio de Janeiro";" Jacarepaguá";22710561;"Rua André Rocha, 22710561, Taquara, Rio de Janeiro, RJ";-22,9335542445939;-43,3773112775264
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quitinete-recreio-268067783";"Quitinete Recreio";500;"Rio de Janeiro";" Recreio Dos Bandeirantes";22795446;"Rua Sol, 22795446, Recreio dos Bandeirantes, Rio de Janeiro, RJ";-23,0275443440344;-43,4731503898095
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/kitinete-otima-localizacao-e-muito-familiar-268061786";"Kitinete ótima localização e muito familiar";620;"Rio de Janeiro";" Irajá";21230215;"Rua Capitão Bellini, 21230215, Irajá, Rio de Janeiro, RJ";-22,8202107954905;-43,3350844657373
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/loja-2-portas-268056872";"Loja 2 portas";NA;"Rio de Janeiro";" Vigário Geral";21241150;"Rua Saturno, 21241150, Vigário Geral, Rio de Janeiro, RJ";-22,8141005637939;-43,3125241684149
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/montagem-de-moveis-a-partir-de-50-00-reais-268054961";"Montagem de Movéis à partir de 50,00 reais";NA;"Rio de Janeiro";" Campo Grande";23070220;"Estrada do Campinho, 23070220, Campo Grande, Rio de Janeiro, RJ";-22,8955447411232;-43,5825485662386
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quitinete-para-solteiros-268054886";"Quitinete para solteiros";400;"Rio de Janeiro";" Cascadura";21310330;"Rua Tenente Andrade Maia, 21310330, Cascadura, Rio de Janeiro, RJ";-22,8839779455842;-43,3393990655552
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-ou-vaga-no-recreio-268040580";"Quarto ou Vaga no Recreio";900;"Rio de Janeiro";" Recreio Dos Bandeirantes";22790587;"Avenida José Luiz Ferraz, 22790587, Recreio dos Bandeirantes, Rio de Janeiro, RJ";-23,0232439901028;-43,4893585602393
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/excelente-oportunidade-para-hoje-233265732";"Excelente oportunidade para hoje";800;"Rio de Janeiro";" Campo Grande";23092205;"Estrada Professor Daltro Santos, 23092205, Campo Grande, Rio de Janeiro, RJ";-22,8805508215355;-43,5510033962618
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/vagas-para-mocas-em-botafogo-268019777";"Vagas para moças em Botafogo";1000;"Rio de Janeiro";" Botafogo";22250040;"Praia de Botafogo, 22250040, Botafogo, Rio de Janeiro, RJ";-22,9461614438553;-43,1820327542748
